date,reservation count,defects,year,month,day
12/4/2019,77,0,2019,Dec,4
12/5/2019,89,0,2019,Dec,5
12/6/2019,162,1,2019,Dec,6
12/7/2019,201,1,2019,Dec,7
12/8/2019,173,0,2019,Dec,8
12/9/2019,103,2,2019,Dec,9
12/10/2019,83,0,2019,Dec,10
12/11/2019,76,0,2019,Dec,11
12/12/2019,103,4,2019,Dec,12
12/13/2019,142,4,2019,Dec,13
12/14/2019,206,1,2019,Dec,14
12/15/2019,152,3,2019,Dec,15
12/16/2019,86,4,2019,Dec,16
12/17/2019,65,0,2019,Dec,17
12/18/2019,79,0,2019,Dec,18
12/19/2019,68,0,2019,Dec,19
12/20/2019,98,0,2019,Dec,20
12/21/2019,136,0,2019,Dec,21
12/22/2019,130,3,2019,Dec,22
12/23/2019,122,0,2019,Dec,23
12/24/2019,48,1,2019,Dec,24
12/25/2019,0,0,2019,Dec,25
12/26/2019,113,0,2019,Dec,26
12/27/2019,180,2,2019,Dec,27
12/28/2019,205,0,2019,Dec,28
12/29/2019,171,2,2019,Dec,29
12/30/2019,124,0,2019,Dec,30
12/31/2019,111,1,2019,Dec,31
