date,reservation count,defects,year,month,day
5/22/2018,155,0,2018,May,22
5/23/2018,155,4,2018,May,23
5/24/2018,174,6,2018,May,24
5/25/2018,180,2,2018,May,25
5/26/2018,225,2,2018,May,26
5/27/2018,237,8,2018,May,27
5/28/2018,237,2,2018,May,28
5/29/2018,219,2,2018,May,29
5/30/2018,267,8,2018,May,30
5/31/2018,183,8,2018,May,31
6/1/2018,238,8,2018,Jun,1
6/2/2018,235,0,2018,Jun,2
6/3/2018,235,0,2018,Jun,3
6/4/2018,179,8,2018,Jun,4
6/5/2018,221,14,2018,Jun,5
6/6/2018,178,4,2018,Jun,6
6/7/2018,250,10,2018,Jun,7
6/8/2018,247,8,2018,Jun,8
6/9/2018,261,6,2018,Jun,9
6/10/2018,252,10,2018,Jun,10
6/11/2018,259,10,2018,Jun,11
6/12/2018,249,6,2018,Jun,12
6/13/2018,230,8,2018,Jun,13
6/14/2018,274,10,2018,Jun,14
6/15/2018,296,12,2018,Jun,15
6/16/2018,262,8,2018,Jun,16
6/17/2018,228,10,2018,Jun,17
6/18/2018,234,10,2018,Jun,18
6/19/2018,271,16,2018,Jun,19
6/20/2018,235,4,2018,Jun,20
6/21/2018,185,14,2018,Jun,21
6/22/2018,243,4,2018,Jun,22
6/23/2018,268,2,2018,Jun,23
6/24/2018,176,2,2018,Jun,24
6/25/2018,246,6,2018,Jun,25
6/26/2018,263,4,2018,Jun,26
6/27/2018,253,4,2018,Jun,27
6/28/2018,219,14,2018,Jun,28
6/29/2018,286,0,2018,Jun,29
6/30/2018,252,2,2018,Jun,30
7/1/2018,193,0,2018,Jul,1
7/2/2018,239,2,2018,Jul,2
7/3/2018,268,6,2018,Jul,3
7/4/2018,225,2,2018,Jul,4
7/5/2018,221,2,2018,Jul,5
7/6/2018,236,0,2018,Jul,6
7/7/2018,224,4,2018,Jul,7
7/8/2018,190,4,2018,Jul,8
7/9/2018,217,4,2018,Jul,9
7/10/2018,225,6,2018,Jul,10
7/11/2018,177,4,2018,Jul,11
7/12/2018,210,8,2018,Jul,12
7/13/2018,239,4,2018,Jul,13
7/14/2018,237,8,2018,Jul,14
7/15/2018,179,0,2018,Jul,15
7/16/2018,190,12,2018,Jul,16
7/17/2018,166,2,2018,Jul,17
7/18/2018,198,0,2018,Jul,18
7/19/2018,261,4,2018,Jul,19
7/20/2018,243,4,2018,Jul,20
7/21/2018,246,4,2018,Jul,21
7/22/2018,182,2,2018,Jul,22
7/23/2018,234,0,2018,Jul,23
7/24/2018,266,2,2018,Jul,24
7/25/2018,187,0,2018,Jul,25
7/26/2018,245,4,2018,Jul,26
7/27/2018,260,2,2018,Jul,27
7/28/2018,213,4,2018,Jul,28
7/29/2018,197,2,2018,Jul,29
7/30/2018,213,2,2018,Jul,30
7/31/2018,184,2,2018,Jul,31
8/1/2018,193,0,2018,Aug,1
8/2/2018,199,4,2018,Aug,2
8/3/2018,230,0,2018,Aug,3
8/4/2018,217,4,2018,Aug,4
8/5/2018,226,2,2018,Aug,5
8/6/2018,177,4,2018,Aug,6
8/7/2018,208,0,2018,Aug,7
8/8/2018,222,6,2018,Aug,8
8/9/2018,245,4,2018,Aug,9
8/10/2018,255,4,2018,Aug,10
8/11/2018,193,0,2018,Aug,11
8/12/2018,158,4,2018,Aug,12
8/13/2018,166,0,2018,Aug,13
8/14/2018,160,0,2018,Aug,14
8/15/2018,187,0,2018,Aug,15
8/16/2018,198,0,2018,Aug,16
8/17/2018,195,0,2018,Aug,17
8/18/2018,228,0,2018,Aug,18
8/19/2018,169,0,2018,Aug,19
8/20/2018,198,2,2018,Aug,20
8/21/2018,169,6,2018,Aug,21
8/22/2018,134,2,2018,Aug,22
8/23/2018,136,2,2018,Aug,23
8/24/2018,236,6,2018,Aug,24
8/25/2018,223,2,2018,Aug,25
8/26/2018,177,0,2018,Aug,26
8/27/2018,117,2,2018,Aug,27
8/28/2018,136,0,2018,Aug,28
8/29/2018,128,2,2018,Aug,29
8/30/2018,169,0,2018,Aug,30
8/31/2018,171,2,2018,Aug,31
9/1/2018,183,4,2018,Sep,1
9/2/2018,206,2,2018,Sep,2
9/3/2018,180,0,2018,Sep,3
9/4/2018,111,2,2018,Sep,4
9/5/2018,131,0,2018,Sep,5
9/6/2018,133,2,2018,Sep,6
9/7/2018,163,8,2018,Sep,7
9/8/2018,207,6,2018,Sep,8
9/9/2018,115,0,2018,Sep,9
9/10/2018,82,4,2018,Sep,10
9/11/2018,113,2,2018,Sep,11
9/12/2018,128,2,2018,Sep,12
9/13/2018,130,0,2018,Sep,13
9/14/2018,176,0,2018,Sep,14
9/15/2018,199,4,2018,Sep,15
9/16/2018,158,0,2018,Sep,16
9/17/2018,169,8,2018,Sep,17
9/18/2018,71,4,2018,Sep,18
9/19/2018,177,6,2018,Sep,19
9/20/2018,172,6,2018,Sep,20
9/21/2018,229,4,2018,Sep,21
9/22/2018,213,0,2018,Sep,22
9/23/2018,186,4,2018,Sep,23
9/24/2018,141,4,2018,Sep,24
9/25/2018,80,2,2018,Sep,25
9/26/2018,113,0,2018,Sep,26
9/27/2018,164,4,2018,Sep,27
9/28/2018,166,0,2018,Sep,28
9/29/2018,238,8,2018,Sep,29
9/30/2018,145,4,2018,Sep,30
10/1/2018,166,2,2018,Oct,1
10/2/2018,132,2,2018,Oct,2
10/3/2018,140,0,2018,Oct,3
10/4/2018,194,6,2018,Oct,4
10/5/2018,240,0,2018,Oct,5
10/6/2018,248,2,2018,Oct,6
10/7/2018,207,0,2018,Oct,7
10/8/2018,221,2,2018,Oct,8
10/9/2018,168,0,2018,Oct,9
10/10/2018,165,4,2018,Oct,10
